mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
35,5,14,3,52.8,0,0,0,38,28,27,9,5,10,11,18,18,14,10,24,10,28,5,12,4,48,97,3,1,29,21,26,7,5,24,10,14,15,12,8,25,7
49,2,19,5,108,200,0,3,37,23,18,13,5,13,10,14,15,12,6,12,3,46,2,15,4,90,190,2,0,36,25,18,9,5,21,12,14,16,11,5,20,3
50,2,13,3,60,120,4,4,34,19,13,14,8,12,11,15,11,11,12,18,7,43,2,13,3,48.48,130,4,1,30,23,10,9,6,17,15,18,15,13,8,30,4
37,2,18,5,42,75,2,0,35,27,21,15,6,18,13,15,13,12,11,25,6,34,2,13,3,0,75,1,3,35,26,17,12,8,22,13,19,17,15,9,24,7
32,2,9,2,72,110,1,0,35,21,23,15,4,3,12,15,15,11,6,20,9,28,2,9,2,22,110,0,0,37,26,19,14,6,3,16,18,16,13,9,26,6
33,2,13,2,69.6,0,1,0,35,25,17,15,5,9,12,15,15,11,8,18,6,31,2,13,4,29.772,0,2,0,32,18,14,11,5,7,12,14,13,10,7,20,6
37,2,15,3,78,95,0,0,35,23,17,12,6,0,12,15,12,10,5,18,5,33,2,14,3,0,90,1,0,29,24,20,12,5,10,13,14,13,10,5,15,6
 , , , , , , , , , , , , , , , , , , , ,0,55,1,12,3,76.992,119,2,2,38,26, , ,0,17, ,16,17,13,6,19,0
46,2,12,2,60.48,82,3,0,37,28,20,12,5,9,14,14,14,12,7,21,4,45,2,13,3,0,82,2,0,37,28,18,13,5,10,13,14,14,12,7,21,3
69,2,11,2,0,93,4,4,40,26,22,16,5,16,14,15,14,12,10,20,8,59,2,12,3,0,93,7,4,41,25,28,9,5,18,14,15,14,12,10,20,8
38,2,13,3,72,130,0,0,37,28,21,12,7,9,10,14,15,13,8,26,10,34,2,13,3,49.2,125,5,2,32,25,9,20,6,19,12,18,19,16,10,26,11
26,2,12,2,96,70,0,0,35,24,22, ,5,7,12,15,17,13,7,24,3,25,2,12,2,0,70,1,0,34,24,23,13,5,17,12,17,18,14,6,24,5
39,2,19,5,89.52,150,2,0,37,33,24,12,5,14,18,18,15,16,5,12,3,40,2,13,3,62.7,158,2,0,37,27,21,10,5,22,18,18,18,15,7,15,2
 , , , , , , , , , , , , , , , , , , , ,0,43,3,13,3,38.4,41,1,0,28,20, , ,0,17, ,15,13,12,5,17,6
 , , , , , , , , , , , , , , , , , , , ,0,57,4,13,3,0,61,3,0,34,23, , ,0,10, ,17,12,8,8,18,1
41,2,12,2,115.2,114,1,0,40,26,16,19,5,18,10,13,14,11,8,22,10,41,2,13,3,38.4,114,3,2,28,25,15,22,5,20,11,12,10,9,6,19,9
28,2,13,3,48,73,0,0,34,23,17,15,5,6,14,16,15,11,11,21,8,28,2,12,3,0,73,1,0,34,25,18,11,6,25,10,15,15,13,8,20,8
46,2,18,5,72,125,1,1,35,24,13,20,5,17,15,17,16,14,6,21,9,43,2,13,3,51.6,126,1,0,35,26,12,22,7,24,12,15,12,14,7,25,7
40,2,13,3,60,125,0,0,43,30,23,17,5,16,15,16,16,15,7,15,6,33,2,13,3,45.6,125,2,1,41,27,20,9,5,14,15,16,14,12,7,23,5
 , , , , , , , , , , , , , , , , , , , ,0,33,3,12,2, ,35,4,4,29,19, , ,0,7, ,9,11,10,11,30,7
67,2,8,1,0,53,4,0,31,24,17,13,5,3,10,14,15,11, ,16,3,60,2,9,1, ,54,8,3,32,23,17,12,5,7,13,14,15,11,8,16,3
32,2,14,3,74.7,140,1,1,42,28,13,23,5,10,12,17,14,12,4,17,5,31,2,15,3,48,140,1,4,27,18,12,25,11,16,10,14,15,13,5,19,3
56,2,11,1,57.6,128,4,3,34,22,21,15,5,10,7,12,15,13,9,25,0,57,2,13,3,68.004,129,6,3,34,18,17,17,5,19, ,12,9,9,9,21,7
 , , , , , , , , , , , , , , , , , , , ,0,28,3,13,3,0,39,3,2,30,22, , ,0,17, ,11,14,11,9,25,10
 , , , , , , , , , , , , , , , , , , , ,0,65,3,11,3,0,0,8,0,27,21, , ,0,9, , ,12, ,8, ,11
23,2,12,2,45.6,79,1,0,35,25,18,12,5,4,19,14,17,12,9,19,3,19,2,12,3,36,79,1,2,33,25,20,11,5,11,20,14,15,13,7,20,2
43,2,12,2,60,100,2,0,36,24,25,12,5,11,16,16,15,12,6,18,4,40,2,13,3,42,100,2,1,30,22,18,14,5,13,16,16,15,12,7,25,4
37,2,12,2,60,86,0,0,38,22,17,19,5,6,11,14,13,10,6,25,8,36,2,13,3,36,86,1,0,28,17,17,16,5,12,12,12,13,12,7,25,10
55,2,18,5,120,170,2,1,39,25,9,10,0,28,10,12,12,9,8,22,5,50,2,11,4,70.8,160,1,0,29,22,13,11,5,22,15,16,14,11,6,23,4
41,2,12,2,57.6,109,1,0,31,24,16,15,7,13,12,11,11,10,10,29,12,35,2,12,2,34.56,109,1,4,35,25,11,11,6,17,11,14,14,12,7,22,9
36,2,13,3,27.72,70,1,0,33,24,12,18,8,14,15,16,14,11,9,23,9,30,2,13,3,42,70,0,0,29,20,9,21,7,19,15,15,14,11,7,28,9
48,2,9,2,57.6,100,2,4,32,23,19,13,5,17,16,13,13,10,6,23,4,46,2,11,3,0,100,15,4, ,23,19,11,5,5,14,14,15,12, , ,2
26,2,16,5,84,125,0,0,30,27,20,14,6,17,9,18,14,13,4,13,0,25,2,16,5,0,125,18,0,30,26,15,12,5,20,16,17,14,10,8,15,2
56,2,18,5,72,120,3,0,39,24,20,22,5,17,18,19,17,13,7,17,5,49,2,12,3,60,120,1,0,36,22,11,12,6,9,12,14,16,10,5,16,0
58,2,15,3,66,110,1,0,37,25,17,9,5,2,11,14,12,9,8,20,1,54,2,11,3,62.4,110,7,0,39,28,15,12,5,0,16,13,11,9,7,16,1
52,2,15,3,44.16,118,2,0,37,24,25,11,5,9,15,15,14,10,7,28,10,48,2,12,3,62.4,118,3,1,28,19,22,19,5,33,13,16,15,11,8,28,9
28,2,12,4,40,66,0,0,38,33,19,11,5,12,6, , , ,9,19,8,29,2,17,5,38.4,66,0,0,28,22,20,18,5,19,13,19,16,14,10,17,6
36,2,12,2,45,130,3,1,29,17,17,15,6,5,14,16,17,12,9,20,3,31,2,13,3,80.4,130,4,2,28,24,14,16,9,16,6,13,16,13,7,21,2
37,2,12,2,41.28,100,1,0,36,27,16,11,5,11,13,15,15,12,8,25,6,36,2,14,3,48,100,1,0,35,28,15,9,5,21,13,16,16,13,8,25,6
46,2,14,3,46.8,97,2,1,41,27,12,16,13,11,14,11,16,11,11,20,6,38,2,18,5,50.1,97,3,0,27,15,6,23,11,17,10,15,13,10,8,21,8
39,2,12,2,42,90,5,2,29,16,16,21,10,10,2,13,12,9,8,22,6,39,2,13,3,42,90,1,0,34,14,10,26,10,19,13,16,14,12,8,30,10
43,2,13,3,86.4,140,1,2,32,19,20,11,5,18,17,12,15,13,5,20,3,39,2,16,3,56.4,140,0,0,33,27,16,12,5,13,17, ,14,13,5,20,3
45,2,9,3,60,120,2,3,39,25,13,13,9,8,17,19,17,14,6,20,10,47,2,12,4,54,120,6,4,36,23,16,15,11,17,16,15,15,14,7,30,7
30,2,13,4,90,130,0,3,31,27,18,14,2,23,12,15,14,11,10,20,8,31,2,12,3,48,150,1,0,33,25,16,19,1,11,13,16, , ,12,25,14
 , , , , , , , , , , , , , , , , , , , ,0,62,4,8,1,0,0,2,0,30,25, , ,0,7, ,15,12,10,6,26,9
57,2,13,3,67.2,141,0,0,31,25, ,12,5,20,2,13, ,10,5,19,3,54,2,11,4,70.8,142,5,2,30,22,16,12,5,2,2,11,12,10, , ,0
23,2,11,2,50.4,86,0,0,48,34,25,13,5,20,11,20,20,14,12,27,11,23,2,12,4,8.4,86,3,2,27,18,24,8,5,27,11,19,17,13,12,24,10
43,2,12,2,66,115,0,0,38,24,14,17,5,8,11,16,19,12,11,22,5,35,2,15,4,46.8,112,0,0,40,26,14,17,6,18,9,16,19,13,6,19,1
30,2,17,5,216,180,0,1,33,29,17,13,5,18,6,14,16,10,5,19,0,30,2,18,5,0,180,1,0,37,26,17,8,5,24,9,13,14,11,6,21,0
32,2,13,3,84,96,0,0,37,28,17,12,5,19,10,14,16,11,7,20,1,25,2,12,3,9.6,92,1,0,33,27,16,15,13,5,12,15,16,15,7,26,5
30,2,12,3,120,370,0,0,48,32,23,10,5,14,11,17,12,9,8,14,4,31,2,13,3,0,370,0,0,47,26,19,6,5,3,12,16,13,9,7,11,2
45,2,12,2,66,161,6,4,35,27,27,8,5,18,2,17,6,7,6,25,6,48,2,11,3,60,248,3,0,24,19,13,13,5,14,8,14,14,12,10,19,7
32,2,18,5,80.004,130,1,0,36,23,19,12,5,17,18,16,17,14,12,20,4,27,2,12,4,56.4,132,1,1,33,25,21,11,5,14,20,16,15,9,12,19,4
39,2,13,3,54,100,0,0,34,23,13, ,5,8,9,15,15,12,12,28,13,34,2,13,3,56.4,100,0,2,34,25,11,13,8,15,11,17,17,14,13,30,13
 , , , , , , , , , , , , , , , , , , , ,0,42,3,14,3,60,84,6,3,38,26, , ,0,24,14, ,16,15,12,26,8
43,2,12,2,54,64,1,4,35,19,15,16,6,15,17,13,14,11,10,30,13,40,2,11,3,0,64,1,4,31,21,21,17,6,11,19,17,17,12,10,30,13
 , , , , , , , , , , , , , , , , , , , ,0,48,3,12,3,56.4,97,6,3,32,22, , ,0,18, ,18,17,9,12,30,13
34,2,12,3,60,75,1,0,29,21,15,23,8,5,13,10,12,9,10,30,9,25,2,12,3,0,75,2,4,32,22,17,17,6,10,18,13,17,11,14,29,14
34,2,17,5,78,134,1,2,36,24,14,13,6,9,8,13,14,9,9,22,6,34,2,13,3,60,134,3,4,37,25,15,12,6,26,10,14,15,12,5,17,5
35,2,16,3,72,90,0,0,37,26,8,7,8,14,16,17, ,14,10,25,8,28,2,13,3,50.4,100,0,0,39,24,22,10,9,17,15,20,15,15,12,28,13
51,2,11,3, ,168,5,3,36,23,20,15,5,9,10,16,14,10,6,15,1,51,2,11,3,54,168,3,4,36,24,24,13,5,22,11,17,17,11,5,13,1
37,2,19,5,74.4,100,0,0,26,20,20,12,5,13,2,11,10,8,6,18,6,31,2,12,3,40.008,110,1,3,29,24,18,16,5,0,2, ,9,10,8,24,6
47,2, ,1,0,85,0,3,35,23,28, ,5,5,13,19,20,15, ,22,6,47,2,12,4,54,85,3,0,33,21,19,10,5,19,12,14,15,11,7,22,6
40,2,12,2,72,151,3,2,38,25,19,12,5,5,2,13,13,11, ,23,6,38,2,13,3,49.2,174,2,1,38,28,17,10,6,17,7,14,13,12,7,23,5
70,2,9,4, ,71,10,4,36,25,23,11,5,13,10,15,14,11,8,24,9,69,2,9,4,0,71,14,4,35,27,24,11,5,17,11,13,14,11,7,23,8
25,1,8,1, ,80,7,4,27,25, , ,0,12, ,14,17,12,12,26,6, , , , , , , , , , , , , , , , , , , , ,0
39,2,12,2,76.8,133,4,3,30,20,13,18,5,12,2,10,8,9,7,21,7,35,2,13,3,57.6,130,5,3,34,25,16,20,5,17,14,15,18,11,6,23,8
40,2,13,2,43.2,116,2,4,38,26,27,8,5,9,15,19,16,14,11,27,9,39,2,13,3,58.2,117,2,1,38,28,26,8,5,14,15,19,16,14,11,27,8
54,2,9,2,48,108,0,0,37,24,26,10,5,7,16,15,13,12,5,16,0,52,2,10,3,66,108,1,0,40,26,23,10,5,15,16,16,13,12,5,16,0
 , , , , , , , , , , , , , , , , , , , ,0,20,1,12,3,0,50,1,0,34,20, , ,0,10,12,13,15,13,11,25,10
67,2,10,3, ,0,10,3,37,24,21,17,5,17,12,12,13,10, ,30,12,58,2,11,1,30,95,3,0,42,27,21,12,5,13,16,15,18, ,7,22,4
34,2,20,5,58.8,121,0,1,36,30,22,14,5,16,2,16,17,15,5,15,5,32,2,13,3,0,122,2,1,37,28,18,11,5,20,11,16,16,16,5,16,4
46,2,13,3,66,110,1,0,38,32,24,14,5,17,12,16,16,14,5,19,1,36,2,13,3,55.2,105,3,4,40,23,17,12,5,28,12,16,11,10,6,18,2
48,2,12,2,56.4,100,1,0,36,27,24,12,5,5,14,20,18,14,10,23,6,44,2,13,3,51.6,105,3,0,37,28,22,15,5,1,14,20,20,14,7,20,0
44,2,18,5,72,120,1,4,32,18,17,13,5,8,14,17,20,15,9,24,7,36,2,15,4,51.6,120,3,0,34,16,16,12,5,22,12,16,11,10,9,29,6
42,2,17,5,72,230,1,0,37,23,23,12,5,18,12,11,13,11,7,21,3,43,2,13,4,48,180,0,0,41,28,22,13,6,24,9,16,14,14,6,23,1
34,2,13,3,230.4,98,1,0,36,26,15,16,5,11,18,15,15,14,8,17,2,29,2,12,2,8.64,98,2,0,36,27,18,13,5,7,19,15,15,13,8,17,1
54,2,8,1,51.6,103,1,0,41,20,21,6,5,11,17,14,14,10,8,16,0,50,2,8,1,39.6,103,3,0,29,28,21,10,5,10,18,13,18,12,7,21,1
 , , , , , , , , , , , , , , , , , , , ,0,29,3,12,3,43.2,69,1,0,35,23, , ,0,9,14,14,16,15,12,28,11
40,2,12,2,92.4,128,1,4,33,28,23,12,5,12,12,20,18,13,6,17,6,39,2,13,3,49.68,128,1,4,30,23,21,9,5,12,11,20,18,13,6,22,5
64,2,11,4,0,50,1,0,38,34,20,25,5,8,11,17,16,15,5,24,4,57,2,9,2,0,70,1,1,37,30,24,15,5,28,8,12,12,13,5,24,5
57,2,13,3,60,160,3,2,37,23,16,18,5,12,17,17,17,13,10,22,6,49,2,8,1,0,160,12,3,31,21,13,21,7,9,17,17,17,13,10,24,7
52,2,16,5,60,130,1,0,38,25,16,8,5,10,11,14,18,13,12,23,9,41,2,15,3,66,135,0,0,37,27,16,8,5,16,10,15,17,10,12,23,10
33,2,9,2,90,140,0,0,31,26,20,12,6,10,3,15,17,12,10,25,8,27,2,12,3,42,140,0,0,39,26,25,8,6,12,8,16,18,14,10,24,10
39,2,15,4,48,430,2,0,43,26,23,7,5,19,12,16,17,13,9,19,0,40,2,15,4,96,500,0,0,41,33,22,17,0,11,19,14,14,13,6,22,0
 , , , , , , , , , , , , , , , , , , , ,0,53,4,8,1, ,0,1,2, ,23, , ,0,0, ,16,17, ,7,19,0
 , , , , , , , , , , , , , , , , , , , ,0,40,3,13,3,57.6,59,0,1,37,28, , ,0,22, ,20,17,13,12,27,15
36,2,13,3,120,220,0,1,42,24,24,12,5,0,14,19,17, ,6,15,0, ,2,13,3,61.2,190,4,4,30, ,24,12,5,13,16,15,16,12,3,11,0
46,2,19,5,144,198,1,0,43,25,13,14,5,10,9,11,13,8,6,19,0,39,2,15,3,54,198,0,2,15,15,14,16,6,11,9,14,10,11,6,20,1
38,2,12,3,38.304,90,4,0,39,31,20,9,5,21,12,13,14,11,8,28,4,39,2,12,3,36.48,92,2,0,37, ,20,12,5,16,12,15,17,11,10,27,4
49,2,12,2,96,150,1,1,32,18,15,13,6,12,10, ,13,9,7,22,4,41,2,15,3,58.8,165,3,0,35,20,18,12,5,9,11,16,14,12,8,27,6
 , , , , , , , , , , , , , , , , , , , ,0,39,1,13,3,52.8,45,2,1,28,19, , ,0,8, ,10,14,12,5,21,3
 , , , , , , , , , , , , , , , , , , , ,0,65,4,8,1,0,34,8,4,36,22, , ,0,6, , ,14,12,7,30,3
49,2,12,2,68.544,165,1,0,41,30,22,13,5,17,10,14,13,12, ,18,0,46,2,13,3,48,165,0,0,41,32,19,15,5,20,9,14,13,13, ,18,0
 , , , , , , , , , , , , , , , , , , , ,0,41,4,16,3,74.4,148,2,0,32,21, , ,0,8, ,14,14,11,8,21,7
44,2,14,3,0,120,1,2,42,27,19,10,0,18,12,15,16,13,9,27,10,41,2,13,3,43.2,120,4,3,39,29,25,10,0,21,13,18,15,12,9,27,10
54,2,8,1,40.8,95,1,0,45,29,25,10,5,4,17,20,18,14,6,14,3,49,2,12,3,38.4,90,15,3,27,27,18,13,5,15,14,20,19,15, ,14,4
40,2,12,2,60,130,0,0,38,28,21,10,5,10,14,15,16,11,8,27,5,38,2,13,3,58.8,130,0,0,36,25,21,8,5,8, ,11,11,12,7,24,6
39,2,12,2,62.496,90,1,1,37,22,19,13,6,6,13,15,11,8,13,25,16,33,2,13,3,26.4,90,2,3,28,19,18,12,8,12,10,11,13,9,12,26,16
54,2,13,3,96,165,7,2,41,26,18,14,5,8,2,12,12,7,8,25,6,48,2,14,3,60,165,4,3,41,27,16,12,5,11,2,14,12,8,8,24,7
51,2,12,3,84,170,3,4,36,23,26,9,5,21,13,20,17,13,10,26,6,51,2,16,5,114,185,1,0,36,28,28,11,5,30,17,19,16,14,9,24,4
 , , , , , , , , , , , , , , , , , , , ,0,31,3,14,3,54,70,0,0,28,26, , ,0,14,8,14,13,10,8,28,11
58,2,14,3,117.6,154,0,0,41,29,17,10,5,6,12,11,9,6,5,11,1,58,2,14,3,0,154,9,4,43,25,12,11,5,11,13,13,18, ,5,12,1
 , , , , , , , , , , , , , , , , , , , ,0,55,4,9,1,46.392,48,3,0,36,20, , ,0,14, ,17, ,14, ,21,9
33,2,13,3,96,120,0,0,36,26,20,14,5,8,10,16,16,14,9,21,5,30,2,12,3,55.2,120,0,0,34,27,20,12,5,16,13,16,14, ,9,22,5
30,2,12,2,80.4,141,2,0,36,24,20,13,5,2,11,13,14,12,7,15,0,28,2,13,3,61.2,141,1,0,37,25,20,12,5,3,13,13,13,12,8,16,0
 , , , , , , , , , , , , , , , , , , , ,0,30,3,13,3,49.2,46,0,0,38,28, , ,0,7,10,20,19,15,10,26,6
58,2,11,2,0,88,2,0,37,24,15,13,5,2,12,14,12, ,6,16,1,58,2,9,1,0,88,3,3,35,24,18,14,5,5,12,14,13,12, ,16,1
45,2,17,5,114,216,1,0,37,23,15,13,11,14,15,18,17,15,12,21,8,46,2,16,5,90,216,2,2,39, ,22,19,5,12,15,15,15,11,11,21,8
41,2,17,4,84,110,0,0,38,27,14,16,5,12,13,19,20,14,6,25,7,40,2,15,4,25.2,105,1,0,40,27,16,12,7,11,8,14,17,15,8,23,6
50,2,11,2,594.624,100,2,1,34,24,21,14,5,18,12,16,14,12,6,17,3,42,2,13,3,84,120,4,2,24,24,8,18,10,24,11,14,15,8,11,19,10
45,2,12,2,66,120,1,0,37,24,12,10,8,7,12,14,16,14,8,30,4,31,2,13,4,54,120,2,0,25,21,11,20,9,13,11,12,13,10,4,30,6
39,2,12,2,28.8,140,2,0,29,19,18,13,5,4,5,12,7,8,14,29,9,34,2,14,3,50.4,140,4,0,29,24,11,25,5,6,8,13,12,10,14,29,9
50,2,12,3,100.008,190,0,0,39,26,19,16,5,16,6,13,10,8,5,21,4,46,2,13,4,78,170,2,1,42,30,21,13,6,14,10,13,14,12,6,22,3
49,2,13,3,96,135,1,0,39,26,23,8,5,10,15,15,13,11,7,18,0,48,2,12,3,48,135,0,0,40,28,22,13,5,7,17,9,12,9,7,25,0
 , , , , , , , , , , , , , , , , , , , ,0,56,4,13,3,54,54,4,0,34,23, , ,0,20, ,14,14,12,7,23,8
 , , , , , , , , , , , , , , , , , , , ,0,30,5,12,3,78,100,1,1,35,27,22,9,5,12,14,20,16,15,7,21,6
36,1,9,1,42,0,0,0,30,23,22,16,5,0,15,20,14,10,7,24,1,35,5,8,1,0,0,0,0,32,26, ,19,1,6,19,17,16,10,7,24,5
 , , , , , , , , , , , , , , , , , , , ,0,33,1,13,3,66,75,0,4,40,18, , ,0,16,8,9,9,7,4,14,3
 , , , , , , , , , , , , , , , , , , , ,0,43,3,13,3,60,86,4,1,30,23, , ,0,11, ,13,13,10,10,30,12
53,2,8,1,66,110,12,4,31,26,20,13,10,2,17,15,14,10,7,20,8,48,2,9,1,62.4,110,1,0,32,25,24,13,5,3,17,14,17,10,10,20,7
25,2,11,3,33,80,1,2,28,15,15,22,7,15,16,14,12,9,6,16,13,22,2,11,3,0,81,3,1,37,26, ,22,6,3,18,14,15,12,10,17,4
28,2,13,2,84,130,0,0,35,27,20,12,7,5,11,13,15,10,9,27,9,28,2,12,3,48,130,0,0,31,25,22,13,5,16,11,18,12,11,9,26,7
44,2,13,4,96,160,0,0,39,23,19,12,5,17,11,18,15,14,10,26,11,35,2,13,3,69.36,140,0,0,39,25,17,15,11,18,11,15,15,13,9,20,6
44,2,9,2,72,140,0,0,38,28,12,25,5,0,11,14,13,12,4,21,2,32,2,11,3,84,120,0,0,35,29,20,6,5,15,18,15,15,13,8,21,4
 , , , , , , , , , , , , , , , , , , , ,0,39,3,15,4,63.6,67,1,0,29,17, , ,0,22, ,19,20,15,12,30,12
66,2,16,3,0,64,2,0,32,23,18,8,5,16,12,13,15,9, ,30,8,64,2,11,2,0,64,13,4,32,23,22,10,5,11,14, ,14, , ,28,7
 , , , , , , , , , , , , , , , , , , , ,0,64,3,11,3,0,33,5,0,33,22, , ,0,26, ,18,20,15,12,27,7
39,2,18,5,86.4,125,3,1,35,19,13,22,5,13, ,16,15,13,8,26,7,39,2,13,3,0,125,1,0, ,25,15,16,6,23,10, ,13,13,8,26,7
59,2,10,2,60,110,0,0,32,22,15,14,5,12,21,12,15,11,4,14,1,49,2,10,2,60,110,2,0,38,27,15,14,5,17,16, ,17,12,3,13,0
30,2,18,5,75.6,130,1,2,36,31,24,10,5,28,14,15,18,13,10,21,8,28,2,13,3,28.8,130,1,4,37,27,24,10,5,13,14,13,16,14,10,20,8
68,2,16,4,0,48,11,0,33,20,19,18,5,27,11,13,15,12,9,24,9,62,2,12,3, ,48,8,3,25,19,22,15,6,18,10,16,16,10,7,24,9
 , , , , , , , , , , , , , , , , , , , ,0,39,3,12,2,42,82,2,0,35,23, , ,0,20,10,15,14,11,4,27,7
 , , , , , , , , , , , , , , , , , , , ,0,53,3,12,3,36,40,6,0,41,27, , ,0,22, ,14,16,11,10,25,7
56,3,18,4,51.6,50,2,1,27,25, , ,0,15,8,12,13,10,9,28,5, , , , , , , , , , , , , , , , , , , , ,0
 , , , , , , , , , , , , , , , , , , , ,0,55,3,14,3,66.528,0,5,4,30,15, , ,0,24,11,11,15,9,6,29,7
 , , , , , , , , , , , , , , , , , , , ,0,54,1,14,3,84,73,6,0,33,20, , ,0,26,15,12,16,11,7,21,2
38,2,17,3,54,90,0,2,32,24,12,15,6,15,10,13,14,11,11,25,7,38,2,11,2,24,88,2,2,32,24,17,12,5,19,14,14,15,12,8,22,5
61,2,17,3,40.656,77,0,1,40,26,22,6,5,32,19,16,13,12,8,23,7,59,2,15,3,0,77,1,0,32,28,16,8,5,30,18,15,13,12,9,24,6
37,2,17,3,72,118,2,3,34,28,19,10,8,9,14,14,13,13,7,27,8,36,2,16,3,48,118,2,4,28,26,21,8,5,14,14,13,15,11,7,26,6
42,2,18,5,93.6,100,1,1,35,25,19,16,5,9,12,14,15,12,8,19,3,40,2,18,5, ,85,2,0,28,23,20,12,5,30,18,20,17,14,5,27,10
57,2,17,4,60,90,1,1,34,24,22,10,5,20,11,19,20,15,10,23,10,58,2,13,4,0,85,1,0,36,26,12,10,5,22,12,18,20,14,10,30,9
 , , , , , , , , , , , , , , , , , , , ,0,53,3,12,3,52.536,0,0,0,35,28, , ,0,26, ,18,12,12,7,23,0
61,1,18,5,94.8,112,1,0,39,28, , ,0,24, ,16,14,9,8,22,6, , , , , , , , , , , , , , , , , , , , ,0
 , , , , , , , , , , , , , , , , , , , ,0,38,3,13,3,62.4,69,4,4,30,16, , ,0,21, ,12,13,11,12,30,9
 , , , , , , , , , , , , , , , , , , , ,0,49,3,13,3,72,75,8,0,44,28, , ,0,12, ,12,16,8,7,25,12
65,2,12,3,0,68,1,4,39,25, , ,0,3,11,20,18,15,8,20,8,59,2,12,3,0,68,1,0,36,24, , ,0,3,12,20,17,14,8,20,8
39,2,12,2,59.4,150,0,0,48,29,28,8,5,16,18,19,16,13,5,6,0,37,2,13,3,72,140,0,0,34,25,22,13,5,21,18,15,15,12,7,13,1
 , , , , , , , , , , , , , , , , , , , ,0,34,3,13,3,0,55,0,0,34,27, , ,0,17,9,8,16,13,6,23,3
38,2,12,2,57.6,100,2,0,38,27, ,10,5,12,20,15,16,12,7,17,5,35,2,14,3,62.4,158,1,1,31,20, ,8,5,24,18,18,15,14,7,22,3
31,2,13,3,50.4,89,0,0,35,24,16,17,6,9,2,7,13,13,12,25,10,30,2,12,3,0,89,0,0,33,23,14,17,6,14,12,14,17,14,12,22,11
43,2,16,5,66,147,0,0,34,25,21,20,6,14,18,17,17,12,8,23,7, , , ,3,0,147,5,4,35,22,23,12,6,31,15,17,18,13,8,26,7
51,2,11,2,50.4,87,2,1,42,30,19,11,5,0, ,8, ,8, ,28,14,49,2,13,3,42.24,87,2,3,42,30,26,20,5,15,2,8,11,8,8,28,14
26,2,12,2,33.6,0,0,0,35,26,17,29,10,7,19,13,13,11,7,28,3,28,2,13,3,60,0,0,0,38,30,21,19,10,22,20,20,19,14,9,18,3
42,2,11,2,78,180,1,0,36,27,20,13,5,14,7,20,19,15,8,24,4,42,2,15,3,66,200,3,1,37,24,14,20,5,25,10,12,15,12,7,20,1
 , , , , , , , , , , , , , , , , , , , ,0,43,3,13,3,35.88,50,2,0,31,21, , ,0,11,14,17,15,14,12,30,7
39,2,18,5,66,170,1,1,28,21,17,19,6,15,6,15,14,11,6,13,3,32,2,18,5,58.8,170,1,0,34,28,22,11,5,15,13,15,14,12,10,21,5
33,2,12,2,60.48,120,0,2,37,28,20,12,0,4,12,14,15,12,8,18,6,28,2,13,3,38.4,0,3,4,31,26,15,12,5,13,13,20,18,14,8,20,3
48,2,11,2,28.224,125,3,0,35,27,17,23,5,15,19,13,17,9,6,19,3,47,2,13,3,72,125,14,1,36,27,15,20,5,10,17,15,16,10,7,21,0
 , , , , , , , , , , , , , , , , , , , ,0,45,3,13,3,45,80,2,2,34,24,16,26,9,23,8,13,15,11,10,23,5
 , , , , , , , , , , , , , , , , , , , ,0,24,2,12,3,42,94,0,0,32,24,12,13,10,9,13,18,19,15,7,20,5
32,2,13,3,0,200,0,0,42,25,22,11,5,12,2,11,8,6,6,12,2,31,2,12,3,0,200,3,0,35,29,18,12,5,23,8,11,12,9,4,15,4
26,2,16,4,54,78,1,3,36,33,12,10,7,14,10,19,15,15,5,22,7,25,2,12,3,0,78,2,0,32,23,16,17,17,22,12,15,13,11,7,24,3
39,2,12,3,51.6,108,0,0,35,27,20,12,5,11,11,16,16,11,11,20,10,39,2,14,3,48,127,5,4,33,27,21,13,6,23,19,19,17,12,12,30,15
41,2,12,2,90,115,0,0,37,22,23,11,5,4,14,20,13,13,9,23,7,36,2,13,4,54,115,6,4,42,25,23,10,5,18,14,18,16,14,6,23,6
53,2,13,3,0,80,10,4,28,18,15,9,5,14,11,13,16,11,10,26,16,48,2,13,3,46.8,80,2,4,34,20,14,9,5,15,15,14,16,11,10,26,13
30,2,17,5,72,147,1,0,39,33,17,5,5,6,11,16,15,11,6,24,0,25,2,12,4,60,147,0,0,34,30,26,5,5,9,11,19,19,12,6,24,0
 , , , , , , , , , , , , , , , , , , , ,0,32,3,12,3,42,40,3,1, ,19, , ,0,21,12,14,14,8,8,23,7
32,2,18,5,96,128,0,0,32,26,14,16,5,10,17,13,15,13,5,23,2,32,2,13,3,50.4,128,0,0,31,27,17,6,7,13,18,15,15,13,7,22,0
39,2,9,1,30,110,6,3,26,21,10,17,10,17,2,9,12,9,9,29,7,37,2,13,4,55.2,110,0,0,32,28,9,23,8,22,10,17,16,15,11,30,10
