mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
34,2,15,3,240,140,0,0,34,26,16,13,5,7,13,11,17,11, ,22,0,34,2,13,3,72,360,3,2,34,28,13,7,7,12,17,18,18,15,8,18,2
43,2,12,2,72,100,0,0,45,29,23,7,5,8,19,18,19,15,6,14,2,40,2,12,3,48,96,0,0,45,27,27,5,5,10,20,20,20,16,7,11,3
42,2,12,2,67.68,130,0,1,36,20,19,16,5,23,11,18,13,12,11,20,9,43,2,13,3,46.8,131,2,1,33,23,18,15,5,20,13,19,20,15,11,20,8
74,2,8,2,0,43,1,3,38,27, , ,0,18,18,14,15,12,9, ,10,71,2,9,2,0,43,6,3,35,23, , ,0,16,17,15,13,10,8, ,9
44,2,19,5,126,235,1,4,37,27,25,5,5,6,17,18,18,13,6,18,3,41,2,18,5,67.2,235,1,0,42,27,28,6,5,18,22,20,17,15,6,19,3
 , , , , , , , , , , , , , , , , , , , ,0,45,3,13,3,60,58,1,4,25,15, , ,0,25,15,12,13,10,14,29,12
35,2,14,3,63,135,1,2,38,28,21,14,5,5,16,13,14,12,7,14,2,27,2,13,3,0,135,1,0,34,25,18,10,5,5,14,16,16,13,7,14,3
50,2,11,2,48,64,3,1,35,28,19,16,5,4,17,16,14,11,9,30,8,48,2,10,2,31.2,64,6,4,28,26,17,17,4,8,17,16,14,11,9,30,7
 , , , , , , , , , , , , , , , , , , , ,0,25,3,12,3,51.6,167,1,0,29,22, , ,0,11,13,15,13,13,8,25,3
33,2,17,5,84,140,1,2,39,32,9,15,17,20,11,18,15,14,13,26,9,33,2,13,3,48,130,5,0,32,23,19,18,20,7,12,14,15,11,8,21,3
51,2,11,2,42.336,150,1,1,25,23,11,21,7,23,18,14,13,13,7,24,8,46,2,16,3,84,160,5,4,38,23,12,14,8,25,13,20,18,15,5,23,9
37,2,13,3,87.6,120,2,0,37,28,19,12,5,14,11,17,16,11,8,27,3,34,2,12,2,30,120,4,1,39,21,23,9,6,6,12,14,14,14,8,25,4
40,2,12,2,60,84,3,0,40,28,26,12,5,12,13,15,15,13,13,28,14,31,2,12,2,0,84,12,4, ,21,22,14,5,18,15,13,18,13,14,26,14
